DATE,OPPONENT,WINNER,NOTABLE
2013-05-08,DET,George/Tom,"Presidents recall “The Hangover,” George assaults Bill"
2013-05-09,DET,George,Presidents race with cinnamon again to thwart Tigers
2013-05-10,CHI,George,"Abe attacks Bill and Teddy, George wins photo finish"
2013-05-11,CHI,Bill,Taft notches his first-ever presidents race victory
2013-05-12,CHI,Teddy,Teddy collects his first victory in dizzy bat race
2013-05-24,PHI,Bill,William Howard Taft leads wire to wire
2013-05-25,PHI,Abe,Abe Lincoln cheats his way to his first victory of the year
2013-05-26,PHI,George,Jefferson diverts other presidents as George wins
2013-05-27,BAL,Teddy,Teddy carries flag across finish line on Memorial Day
2013-05-28,BAL,Tom,"Orioles Bird tackles 4 presidents, struggles with Taft"
2013-06-04,NYM,George,George & Abe in photo finish aboard Capital Bikeshares
2013-06-05,NYM,Abe,That Cat returns to attack Teddy Roosevelt at the wire
2013-06-08,MIN,Teddy,Teddy Roosevelt comes from behind to get win #3
2013-06-09,MIN,George,"Cicada invades Nationals Park, trips up Teddy"
2013-06-09,MIN,Abe,"Teddy goes after cicada with swatter, gets swatted back"
2013-06-20,COL,George,Presidents struggle with obstacle course on Army Night
2013-06-21,COL,Bill,Taft enlists Kool Aid Man on the first day of summer
2013-06-22,COL,Abe,Abe Lincoln pays tribute to… Sweden?
2013-06-23,COL,Teddy,"“Rally Cicada” helps Teddy win, inspires Nats reserves"
2013-06-25,ARI,Tom,Tom attaches speed parachutes to his competition
2013-06-26,ARI,Abe,Racing presidents prancersize across the finish line
2013-06-27,ARI,Abe,Abe commemorates decommissioning of Route 66
2013-07-01,MIL,Tom,Tom kicks off the 2nd half of the season with a W
2013-07-02,MIL,Teddy,Abe slams Taft to the warning track with a folding chair
2013-07-03,MIL,Bill,"Taft plows into Teddy, competing for Twitter followers"
2013-07-04,MIL,George,
2013-07-05,SDG,Abe,"Abe flattens Teddy in the outfield. Taft, Tom follow suit"
2013-07-06,SDG,Bill,"Rally cicada returns, gives Taft a water cooler weapon"
2013-07-07,SDG,George,Everybody cheats except for George Washington
2013-07-19,LAD,Abe,Sharknado invades Nationals Park
2013-07-20,LAD,Bill,Bill has presidents hand out cold water and freezer pops
2013-07-21,LAD,George,Martha Washington teases Tom but cools down George
2013-07-22,PIT,Abe,Teddy takes out visiting pierogies with fork and knife
2013-07-23,PIT,Abe,Teddy is ambushed by Pittsburgh’s racing pierogies
2013-07-24,PIT,George,Washington runs anchor in relay vs. Pierogies
2013-07-25,PIT,Bill,"Presidents run left, Teddy “stumbles” at the finish line"
2013-07-26,NYM,Abe,"Cicada returns to attack Teddy, and misses"
2013-07-26,NYM,Bill,"Cicada chases presidents left, where sharknado attacks"
2013-07-27,NYM,George,Lincoln leaps from the stands to tackle Teddy Roosevelt
2013-07-28,NYM,Abe,"George tries to cheat on a bike, but wipes out"
2013-08-05,ATL,Teddy,"Teddy dons Shark outfit, attacks Taft on Shark Week"
2013-08-06,ATL,George,“Sharky” takes out all of George’s competition
2013-08-07,ATL,Bill,"“Sharky” mans the starting gate, Bill runs away with it"
2013-08-09,PHI,Tom,"Lincoln, dressed as Batman, knocks out Sharknado"
2013-08-10,PHI,Abe,Teddy flees from Sharky
2013-08-11,PHI,Teddy,Teddy exacts revenge to close out Shark Week
2013-08-13,SFG,George,"Taft muscles aside Tom and Teddy, but falls himself"
2013-08-14,SFG,Bill,Taft pulls away in a laugher
2013-08-15,SFG,Abe,"Teddy, Taft cause a jam up in the starting gate"
2013-08-27,MIA,Abe,Lincoln leads wire to wire
2013-08-28,MIA,Abe,Lincoln inches out Jefferson in photo finish sprint
2013-08-29,MIA,Abe,Lincoln takes the short path as Tom veers wide
2013-08-30,NYM,Tom,Teddy’s pet moose Bullee takes out the competition
2013-08-31,NYM,Abe,Abe Lincoln cheats his way into contention – pushes Taft
2013-09-01,NYM,Teddy,"Grounds crew jumps presidents, Teddy stumbles ahead"
2013-09-13,PHI,George,"Taft is Jason, dons hockey mask for Friday the 13th"
2013-09-14,PHI,Abe,Lincoln makes balloon animals for Pups in the Park
2013-09-15,PHI,Teddy,In year’s “best” race Teddy dives across the finish line
2013-09-17,ATL,Abe,Abe comes from behind to outpace George
2013-09-17,ATL,Abe,"Pigeon trips Teddy, Abe takes two to stay alive"
2013-09-18,ATL,Bill,Fake finish line nabs Teddy. Taft steals the victory.
2013-09-19,MIA,Abe,Lincoln clobbers George Washington with a baton
2013-09-20,MIA,Abe,"Lincoln showboats, wins race from left field bullpen"
2013-09-22,MIA,Teddy,Bully the Moose takes out Abe Lincoln
2013-09-22,MIA,Teddy,Teddy shoves Bully aside in relay vs. all star villains
2014-04-04,ATL,Teddy,Teddy tricks his rivals with wheel of fortune
2014-04-05,ATL,Abe,"Teddy Roosevelt starts strong, fades at the finish"
2014-04-06,ATL,Bill,Mascots visiting for Screech’s birthday pummel presidents
2014-04-08,FLA,George,George and Abe attack Thomas Jefferson
2014-04-09,FLA,Teddy,Teddy pulls ahead aboard Capital Bikeshare bikes
2014-04-10,FLA,Abe,George Washington fades at the finish
2014-04-17,STL,Tom,Teddy stops to high five fans on National High Five Day
2014-04-18,STL,Teddy,"Presidents reverse course, exorcise Cardinals demons"
2014-04-19,STL,George,Washington slams Teddy into the visitors bullpen fence
2014-04-20,STL,Bill,Easter Bunny takes out 4 Racing Presidents
2014-04-21,LAA,Abe,Lincoln ties Teddy atop the standings
2014-04-22,LAA,Abe,Presidents recycle during Earth Day presidents race
2014-04-23,LAA,Abe,Teddy commemorates “Man in the Arena” speech
2014-04-24,SDG,Bill,Linebacker Lavar Arrington tackles Abraham Lincoln
2014-04-25,SDG,George,Presidents race in the rain wearing Hawaiian shirts
2014-04-26,SDG,Abe,Lincoln leads wire to wire in Hawaiian shirts
2014-04-27,SDG,Teddy,Teddy pulls ahead as presidents go Hawaiian again
2014-05-05,LAD,Teddy,Teddy hurdles over folding tables as presidents stumble
2014-05-06,LAD,Abe,Abe Lincoln catches William Howard Taft at the finish
2014-05-07,LAD,Abe,Lincoln pulls away from Thomas Jefferson at the wire
2014-05-16,NYM,Teddy,Teddy trips the racing presidents with a baby Godzilla
2014-05-17,NYM,Abe,Lincoln comes from behind on Military Appreciation Day
2014-05-18,NYM,Abe,Lincoln comes from behind for second straight day
2014-05-19,CIN,Teddy,Teddy Roosevelt Clobbers Abe Lincoln at the finish
2014-05-19,CIN,Teddy,Teddy wins bonus presidents race in the 13th inning
2014-05-20,CIN,George,"Presidents run left, block Abe’s path to victory"
2014-05-21,CIN,Teddy,
2014-05-26,FLA,George,"Wearing military fatigues, George edges Teddy"
2014-05-27,FLA,N/A,Postponed
2014-05-28,FLA,George,"Bill & Tom wrap up Abe, George tackles the Gecko"
2014-05-30,TEX,Teddy,Taft commemorates dedication of the Lincoln Memorial
2014-05-31,TEX,Tom,Jefferson wins for only the second time this season
2014-06-01,TEX,Tom,"Jefferson runs barefoot, throws shoes into the stands"
2014-06-03,PHI,Abe,"Abe trips Taft, who falls on the cake he’s carrying"
2014-06-04,PHI,Bill,Taft comes from behind to take the belt
2014-06-05,PHI,Tom,"Before concert, presidents race in plain white Ts"
2014-06-17,HOU,Teddy,“Nice Cream” knocks out racers on $1 ice cream night
2014-06-18,HOU,Teddy,George and Teddy win outfield tug-of-war contest
2014-06-19,ATL,Tom,Racing presidents form roadblock to stop Taft
2014-06-20,ATL,Bill,Taft edges Jefferson in battle to hang onto last place
2014-06-20,ATL,Teddy,Teddy takes extra race in 13th inning
2014-06-21,ATL,Bill,Teddy Roosevelt tackled by Crab Nachos Libre
2014-06-22,ATL,Abe,Presidents play out USA vs. Portugal World Cup match
2014-06-30,COL,Abe,Crowd chants USA! as presidents act out US vs. Belgium
2014-07-01,COL,Abe,Abe has no sense of humor on International Joke Day
2014-07-02,COL,Teddy,Alien invades Nationals Park on World UFO Day
2014-07-04,CHI,George,Washington wins Independence Day race for 2nd year
2014-07-05,CHI,Abe,LarQ the bear cub attacks Teddy Roosevelt in the outfield
2014-07-06,CHI,Bill,Grounds crew repeatedly pummels LarQ the Bear 
2014-07-07,BAL,Bill,Taft wins a close race in the Battle of the Beltways
2014-07-18,MIL,Tom,"Teddy takes out George, who returns the favor"
2014-07-19,MIL,Teddy,"Teddy trips Taft, causes 5 president pile-up"
2014-07-20,MIL,Teddy,"Teddy celebrates moon landing anniversary, scares MLB"
2014-07-31,PHI,Abe,Sharknado attacks Teddy Roosevelt 
2014-08-01,PHI,Tom,Twin sharknados take out presidents in the outfield
2014-08-02,PHI,Teddy,"Abe Lincoln dresses as Sharknado, attacks presidents"
2014-08-03,PHI,Teddy,Teddy clobbers racing presidents with “Rally Mitt”
2014-08-04,BAL,Teddy,Teddy bowls over presidents wearing Rally Mitt
2014-08-05,NYM,Teddy,Jayson Werth Garden Gnome knocks out presidents
2014-08-06,NYM,Bill,"Justice was not blind, but all the other presidents were"
2014-08-07,NYM,Teddy,"Teddy relaxes, sets trap made of palm trees & pineapples"
2014-08-07,NYM,Tom,Tom wins bonus race in 13th inning
2014-08-15,PIT,Teddy,Teddy pummels Pittsburgh Pierogie Potato Pete
2014-08-16,PIT,Teddy,Teddy turns the table on the pierogies
2014-08-17,PIT,Bill,Crab Nachos Libre stops Pittsburgh’s racing pierogies
2014-08-18,ARI,Tom,Thomas Jefferson keeps pace with William Howard Taft
2014-08-19,ARI,Bill,"Presidents attack GEICO Gecko, Jefferson gets stuck"
2014-08-20,ARI,Teddy,Teddy Roosevelt takes ALS Ice Bucket Challenge 
2014-08-21,ARI,George,George takes the W in the rain
2014-08-22,SFG,George,George Shares a Coke with his fellow racing presidents
2014-08-23,SFG,Abe,Abe wins for the first time in August
2014-08-24,SFG,Tom,Teddy falls short of the finish line
2014-09-05,PHI,Abe,Abe stays alive with the first victory of September
2014-09-06,PHI,Tom,Tom edges Teddy in Hawaiian shirts
2014-09-07,PHI,Bill,Taft edges Roosevelt in Sunday finest
2014-09-08,ATL,Abe,Presidents race melee features epic pushing and shoving 
2014-09-09,ATL,Abe,"George conspires to hold back Teddy, Abe stays alive"
2014-09-10,ATL,Abe,Presidents pass out flags. Abe sneaks by FTW
2014-09-23,NYM,Abe,Lincoln wins in a tutu to promote Color Run
2014-09-24,NYM,N/A,Postponed
2014-09-25,NYM,Abe,Abe takes the first race of the day-night doubleheader
2014-09-25,NYM,Teddy,Teddy wins for the first time in more than a month
2014-09-26,FLA,Abe,Nice Cream Cone interferes to give Lincoln the victory
2014-09-26,FLA,Abe,Lincoln enlists Secret Service to create presidents race tie
2014-09-27,FLA,George,Replay review official Abe Lincoln robs Teddy of victory
2014-09-28,FLA,Teddy,Teddy passes Penguins of Madagascar to finish in first place
2014-10-03,SFG,Teddy,Presidents dance to “Rock Your Body” by Justin Timberlake
2014-10-04,SFG,Teddy,Teddy uses nunchucks vs. Beef and Crab Nachos Libre
2014-10-04,SFG,Teddy,Teddy rallies playoff crowd in extra 13th-inning race
2015-04-06,NYM,Bill,The Easter Bunny takes out Teddy with flying leap
2015-04-08,NYM,Teddy,Teddy edges Abe Lincoln at the finish line
2015-04-09,NYM,Abe,Abe pulls past Jefferson at the finish
2015-04-16,PHI,Abe,George Washington stops to high five fans
2015-04-17,PHI,Bill,Taft passes George Washington in the stretch
2015-04-18,PHI,Bill,Taft recruits Opera rats to ambush presidents
2015-04-19,PHI,Teddy/Bill,Screech wins team relay race with Teddy & Taft
2015-04-21,STL,George,Presidents “replay” inaugural race from 2006
2015-04-22,STL,Teddy,ESPN’s Doug Glanville helps Teddy on Earth Day
2015-04-23,STL,Abe,Lincoln squeaks by Teddy Roosevelt at the wire
2015-05-04,MIA,Abe,"George and Bill trip, Abe comes from behind"
2015-05-05,MIA,Abe,Rushmores leave Taft behind in throwback race
2015-05-06,MIA,Abe,"Presidents mix it up, but result stays the same"
2015-05-08,ATL,Bill,Tom & Taft slam opponents with a folding table
2015-05-09,ATL,Abe,Nachos Libre tackles Tom – Is he the new Teddy?
2015-05-10,ATL,George,Presidents race with pink bat batons
2015-05-19,NYY,George,Presidents shove Jefferson into the outfield wall
2015-05-20,NYY,Bill,Taft comes from the back of the pack
2015-05-22,PHI,Bill,Taft’s wife Nellie pops from a Jack in the Box
2015-05-23,PHI,Bill,Teddy Roosevelt tries to head butt Taft & misses
2015-05-24,PHI,Abe,"When George Washington trips, Abe cleans up"
2015-06-01,TOR,Abe,"Presidents start in left field, run backwards"
2015-06-02,TOR,George,Taft watches from the stands
2015-06-03,TOR,Bill,Presidents stop to hug fans on National Hug Day
2015-06-04,CHI,Abe,Teddy distracts Tom with discount Ponchos
2015-06-05,CHI,Bill,Presidents pummel Clark the Bear on Donut Day
2015-06-06,CHI,Abe,Paula Abdul judges presidents dance-off 
2015-06-07,CHI,George,George waits then turns on the afterburners
2015-06-17,TAM,Teddy,Abe rides Nats custom motorcycle on Nats HD
2015-06-18,TAM,George,GW carries Martha over finish line on ladies night
2015-06-19,PIT,Bill,Taft recruits Pittsburgh pierogies to attack foes
2015-06-20,PIT,Teddy,Secret Service protects Teddy from Potato Pete
2015-06-21,PIT,Abe,Lincoln outraces Pittsburgh pierogie Potato Pete
2015-06-23,ATL,George,Presidents race to the Hawaii Five-0 theme
2015-06-24,ATL,Tom,TJ gets victory #1 on UVA college rivalry night
2015-06-25,ATL,Tom,Tom wins his 2nd race aboard a Segway
2015-07-03,SFG,Calvin,Calvin Coolidge cheats to win his first race
2015-07-04,SFG,George,Washington wins on Independence Day
2015-07-05,SFG,Teddy,Shark attack knocks out presidents in outfield
2015-07-06,CIN,Calvin,Mr. Nice Cream Cone helps Coolidge cheat
2015-07-07,CIN,Split,"Calvin, Tom, and George share relay race win"
2015-07-17,LAD,Abe,Lincoln enlists Ant Man to knock out opposition
2015-07-18,LAD,Teddy,Teddy holds off late charge by Calvin Coolidge
2015-07-19,LAD,Split,The evil empire prevails on Star Wars Day
2015-07-20,NYM,George,Martha Washington knocks out the presidents
2015-07-21,NYM,Tom,Jefferson runs away with it
2015-07-22,NYM,Calvin,“Silent Cal” Coolidge leads wire to wire
2015-08-03,ARI,Calvin,Cal races from behind to overtake Lincoln
2015-08-04,ARI,Teddy,"MASN calls the race for Abe, but Teddy wins"
2015-08-05,ARI,Abe,Teddy helps Abe Lincoln grow a Chia Beard
2015-08-06,ARI,Tom,"Teddy races out of the stadium, loses lead"
2015-08-07,COL,Abe,Dan Kolko races in Thomas Jefferson costume
